סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
65        ,מגדל                     ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,2020      ,203       ,427       ,726       ,213       ,223       ,228
66        ,מרחביה )קיבוץ(           ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1330      ,92        ,320       ,425       ,183       ,100       ,210
67        ,אור הנר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,923       ,95        ,202       ,356       ,101       ,64        ,105
69        ,ניר עוז                  ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,492       ,61        ,91        ,158       ,53        ,27        ,102
70        ,אשדוד                    ,61        ,אשקלון                   ,69        ,אשדוד                    ,0         ,                         ,253322    ,22756     ,51294     ,85851     ,28446     ,23421     ,41554
71        ,אשבול                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,42        ,מרחבים                   ,652       ,60        ,180       ,239       ,69        ,39        ,65
72        ,גן שמואל                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1211      ,97        ,188       ,398       ,144       ,110       ,274
74        ,עין הוד                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,679       ,46        ,127       ,218       ,113       ,63        ,112
76        ,כפר גלעדי                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,746       ,48        ,124       ,239       ,115       ,44        ,176
77        ,איילת השחר               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,1139      ,67        ,242       ,361       ,158       ,89        ,222
78        ,קרית ענבים               ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,397       ,25        ,59        ,132       ,65        ,35        ,81
79        ,דגניה ב'                 ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,802       ,50        ,181       ,236       ,125       ,57        ,153
80        ,נהלל                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1039      ,97        ,212       ,385       ,96        ,88        ,161
