סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
298       ,מסילות                   ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,550       ,33        ,49        ,188       ,51        ,46        ,183
300       ,דליה                     ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,914       ,77        ,174       ,302       ,89        ,69        ,203
301       ,בית עוזיאל               ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,666       ,61        ,146       ,227       ,95        ,54        ,83
302       ,דפנה                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,800       ,67        ,160       ,264       ,89        ,33        ,187
303       ,דן                       ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,733       ,82        ,122       ,294       ,53        ,43        ,139
304       ,שדה אליהו                ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,913       ,93        ,157       ,378       ,67        ,68        ,150
305       ,גשר                      ,22        ,כנרת                     ,22        ,טבריה                    ,7         ,עמק המעיינות             ,508       ,39        ,42        ,192       ,47        ,52        ,136
306       ,שדמות דבורה              ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,771       ,72        ,215       ,257       ,91        ,28        ,108
307       ,הזורעים                  ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,985       ,144       ,327       ,334       ,54        ,42        ,84
308       ,מחניים                   ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,809       ,66        ,209       ,247       ,94        ,66        ,127
309       ,נהורה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,1360      ,124       ,294       ,542       ,168       ,138       ,94
310       ,כפר גליקסון              ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,395       ,51        ,65        ,130       ,43        ,39        ,67
311       ,גן שורק                  ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,363       ,22        ,77        ,127       ,47        ,43        ,47
312       ,נווה ים                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,298       ,24        ,61        ,106       ,31        ,21        ,55
313       ,אפק                      ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,735       ,77        ,160       ,253       ,84        ,42        ,119
315       ,נגבה                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,1065      ,87        ,280       ,342       ,116       ,55        ,185
316       ,כפר נטר                  ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1129      ,112       ,278       ,390       ,163       ,47        ,139
317       ,בית אורן                 ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,449       ,51        ,65        ,168       ,53        ,50        ,62
318       ,עמיעוז                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,300       ,31        ,64        ,100       ,37        ,29        ,39
319       ,עמיר                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,681       ,67        ,102       ,237       ,84        ,43        ,148
320       ,כפר ורבורג               ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1233      ,105       ,316       ,393       ,184       ,74        ,161
322       ,בית הלל                  ,21        ,צפת                      ,21        ,צפת                      ,55        ,מבואות החרמון            ,809       ,77        ,156       ,346       ,73        ,59        ,98
324       ,שאר ישוב                 ,21        ,צפת                      ,21        ,צפת                      ,55        ,מבואות החרמון            ,593       ,50        ,122       ,233       ,71        ,42        ,75
325       ,מצובה                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1302      ,84        ,370       ,454       ,157       ,100       ,137
326       ,בית יצחק-שער חפר         ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,2301      ,174       ,502       ,706       ,284       ,204       ,431
327       ,שדות ים                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,1050      ,126       ,209       ,360       ,116       ,69        ,170
328       ,עזוז                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,88        ,4         ,23        ,29        ,14        ,12        ,6
329       ,שדה נחמיה                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,1147      ,98        ,293       ,386       ,161       ,84        ,125
330       ,אלומות                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,492       ,71        ,102       ,181       ,40        ,45        ,53
331       ,ניר צבי                  ,43        ,רמלה                     ,43        ,רמלה                     ,40        ,שדות דן                  ,1355      ,136       ,288       ,450       ,168       ,82        ,231
334       ,קבוצת יבנה               ,44        ,רחובות                   ,44        ,רחובות                   ,29        ,חבל יבנה                 ,874       ,85        ,182       ,320       ,73        ,67        ,147
335       ,רמת השופט                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1110      ,80        ,266       ,374       ,153       ,61        ,176
336       ,דורות                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,800       ,87        ,147       ,296       ,56        ,45        ,169
338       ,איבים                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,400       ,23        ,107       ,204       ,28        ,21        ,17
339       ,רמת צבי                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,713       ,96        ,167       ,246       ,57        ,48        ,99
340       ,גת )קיבוץ(               ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,857       ,68        ,216       ,258       ,104       ,56        ,155
342       ,גברעם                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,509       ,73        ,101       ,188       ,55        ,27        ,65
343       ,חמדיה                    ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,395       ,25        ,71        ,132       ,40        ,32        ,95
344       ,מענית                    ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,795       ,89        ,164       ,283       ,67        ,70        ,122
345       ,כפר סאלד                 ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,652       ,72        ,100       ,269       ,61        ,40        ,110
346       ,גליל ים                  ,51        ,תל אביב                  ,57        ,הרצליה                   ,19        ,חוף השרון                ,511       ,64        ,93        ,187       ,44        ,35        ,88
347       ,מנרה                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,261       ,28        ,21        ,104       ,30        ,20        ,58
348       ,ניר עם                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,530       ,59        ,79        ,197       ,59        ,39        ,97
351       ,ניצן                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,2329      ,275       ,714       ,820       ,209       ,174       ,137
352       ,גבולות                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,426       ,23        ,85        ,147       ,39        ,53        ,79
353       ,בית זיד                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,144       ,10        ,16        ,32        ,20        ,27        ,39
354       ,רביבים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,939       ,61        ,144       ,346       ,111       ,109       ,168
355       ,חורשים                   ,42        ,פתח תקווה                ,349       ,ראש העין                 ,20        ,דרום השרון               ,387       ,34        ,51        ,125       ,51        ,51        ,75
356       ,הגושרים                  ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,836       ,76        ,131       ,329       ,84        ,83        ,133
357       ,כפר בלום                 ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,1043      ,82        ,214       ,341       ,126       ,56        ,224
358       ,יד מרדכי                 ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,928       ,73        ,135       ,341       ,103       ,68        ,208
359       ,ניצנים                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,453       ,50        ,60        ,136       ,43        ,48        ,116
360       ,גבעת ניל"י               ,32        ,חדרה                     ,32        ,חדרה                     ,45        ,אלונה                    ,651       ,46        ,175       ,224       ,83        ,60        ,63
362       ,רוחמה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,716       ,49        ,153       ,208       ,79        ,45        ,182
363       ,חפץ חיים                 ,44        ,רחובות                   ,44        ,רחובות                   ,31        ,נחל שורק                 ,644       ,116       ,186       ,211       ,38        ,33        ,60
364       ,כפר אוריה                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,898       ,93        ,267       ,297       ,117       ,61        ,63
365       ,בית קשת                  ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,770       ,67        ,206       ,238       ,99        ,68        ,92
366       ,שמיר                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,928       ,61        ,187       ,336       ,114       ,86        ,144
367       ,עין העמק                 ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,810       ,82        ,158       ,307       ,93        ,72        ,98
368       ,ביריה                    ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,927       ,87        ,247       ,308       ,85        ,87        ,113
369       ,גלעד )אבן יצחק(          ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,568       ,59        ,104       ,206       ,50        ,46        ,103
370       ,גזר                      ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,491       ,35        ,56        ,204       ,38        ,79        ,79
371       ,כדורי                    ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,102       ,10        ,18        ,49        ,7         ,10        ,8
372       ,רמות נפתלי               ,21        ,צפת                      ,21        ,צפת                      ,55        ,מבואות החרמון            ,595       ,34        ,130       ,186       ,116       ,36        ,93
373       ,בית הלוי                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,764       ,72        ,173       ,255       ,85        ,67        ,112
374       ,חוקוק                    ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,714       ,75        ,181       ,224       ,95        ,46        ,93
375       ,מגל                      ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1295      ,104       ,395       ,389       ,200       ,64        ,143
376       ,עברון                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,933       ,93        ,169       ,344       ,93        ,60        ,174
377       ,המעפיל                   ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,972       ,85        ,254       ,300       ,145       ,55        ,133
378       ,משגב עם                  ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,337       ,27        ,47        ,150       ,29        ,28        ,56
379       ,גאולים                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,977       ,87        ,214       ,331       ,117       ,93        ,135
380       ,להבות הבשן               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,963       ,56        ,221       ,318       ,158       ,81        ,129
382       ,מכמורת                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1432      ,120       ,252       ,470       ,180       ,143       ,267
383       ,עין הנצי"ב               ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,685       ,77        ,166       ,242       ,49        ,48        ,103
385       ,עמיעד                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,546       ,37        ,72        ,183       ,59        ,66        ,129
386       ,בני דרור                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1255      ,70        ,178       ,311       ,104       ,128       ,464
387       ,כפר מונש                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,943       ,95        ,217       ,306       ,116       ,90        ,119
388       ,כפר קיש                  ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,655       ,58        ,167       ,221       ,86        ,45        ,78
389       ,בצרה                     ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1162      ,89        ,299       ,350       ,208       ,67        ,149
390       ,רגבה                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,1081      ,69        ,207       ,360       ,119       ,86        ,240
392       ,קדמה                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,41        ,5         ,12        ,15        ,4         ,0         ,5
393       ,גלאון                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,673       ,79        ,136       ,208       ,68        ,52        ,130
394       ,שובל                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,881       ,90        ,167       ,310       ,89        ,70        ,155
395       ,משמר הנגב                ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1170      ,93        ,228       ,370       ,117       ,128       ,234
396       ,נבטים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1027      ,83        ,223       ,395       ,120       ,100       ,106
397       ,חצרים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,41        ,בני שמעון                ,1107      ,93        ,196       ,391       ,126       ,101       ,200
398       ,שרשרת                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,387       ,25        ,110       ,124       ,39        ,43        ,46
399       ,בארי                     ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,1188      ,121       ,214       ,420       ,134       ,107       ,192
400       ,אבן שמואל                ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,1720      ,227       ,629       ,586       ,120       ,73        ,85
402       ,ניר יצחק                 ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,731       ,58        ,78        ,309       ,56        ,105       ,125
403       ,אורים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,586       ,29        ,63        ,221       ,54        ,66        ,153
405       ,נווה אילן                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1038      ,84        ,257       ,333       ,113       ,92        ,159
406       ,חצור-אשדוד               ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,942       ,88        ,170       ,304       ,89        ,85        ,206
407       ,דברת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,488       ,53        ,117       ,158       ,51        ,38        ,71
408       ,נאות מרדכי               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,699       ,70        ,105       ,263       ,60        ,60        ,141
409       ,יחיעם                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,841       ,65        ,220       ,278       ,92        ,42        ,144
412       ,קרית שלמה                ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,11        ,0         ,0         ,1         ,0         ,1         ,9
413       ,צאלים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,540       ,38        ,91        ,206       ,53        ,57        ,95
414       ,קלחים                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,42        ,מרחבים                   ,615       ,68        ,200       ,213       ,59        ,30        ,45
415       ,שוקדה                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,589       ,116       ,209       ,194       ,18        ,22        ,30
416       ,מעין ברוך                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,649       ,58        ,105       ,241       ,77        ,58        ,110
417       ,יקום                     ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,772       ,86        ,138       ,272       ,96        ,56        ,124
418       ,בני ציון                 ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1205      ,92        ,292       ,387       ,171       ,109       ,154
419       ,סעד                      ,62        ,באר שבע                  ,62        ,באר שבע                  ,39        ,שדות נגב                 ,976       ,101       ,257       ,352       ,73        ,42        ,151
421       ,משאבי שדה                ,62        ,באר שבע                  ,62        ,באר שבע                  ,48        ,רמת נגב                  ,608       ,63        ,73        ,206       ,75        ,64        ,127
422       ,חרב לאת                  ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,761       ,59        ,172       ,249       ,107       ,61        ,113
423       ,העוגן                    ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,874       ,70        ,157       ,280       ,84        ,90        ,193
424       ,גבים                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,647       ,54        ,142       ,244       ,92        ,44        ,71
425       ,משמרת                    ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1017      ,73        ,283       ,296       ,200       ,69        ,96
426       ,עין כרמל                 ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,812       ,54        ,227       ,266       ,118       ,50        ,97
427       ,כפר גלים                 ,31        ,חיפה                     ,31        ,חיפה                     ,15        ,חוף הכרמל                ,160       ,9         ,47        ,74        ,15        ,7         ,8
428       ,ברור חיל                 ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,1042      ,69        ,192       ,377       ,119       ,105       ,180
429       ,אלוני אבא                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1047      ,59        ,326       ,311       ,197       ,64        ,90
430       ,בית לחם הגלילית          ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,867       ,77        ,167       ,298       ,112       ,98        ,115
431       ,דלתון                    ,21        ,צפת                      ,21        ,צפת                      ,2         ,מרום הגליל               ,911       ,82        ,216       ,343       ,115       ,74        ,81
432       ,שמרת                     ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,582       ,52        ,106       ,216       ,46        ,51        ,111
433       ,נחשולים                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,767       ,81        ,157       ,252       ,99        ,69        ,109
434       ,החותרים                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,859       ,105       ,162       ,303       ,92        ,68        ,129
435       ,נצר סרני                 ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,923       ,140       ,177       ,316       ,76        ,56        ,158
436       ,עין דור                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1342      ,128       ,260       ,427       ,161       ,120       ,246
437       ,רשפים                    ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,1021      ,148       ,263       ,381       ,72        ,62        ,95
439       ,שלוחות                   ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,514       ,67        ,77        ,179       ,30        ,59        ,102
440       ,יסודות                   ,44        ,רחובות                   ,44        ,רחובות                   ,31        ,נחל שורק                 ,742       ,134       ,287       ,219       ,23        ,19        ,60
442       ,גדעונה                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,460       ,63        ,113       ,169       ,42        ,30        ,43
443       ,כפר הנשיא                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,891       ,63        ,105       ,288       ,106       ,109       ,220
444       ,רגבים                    ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,612       ,58        ,128       ,177       ,63        ,60        ,126
445       ,רמות מנשה                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1306      ,98        ,378       ,387       ,195       ,97        ,151
446       ,אודים                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1135      ,97        ,233       ,403       ,168       ,94        ,140
447       ,נורדיה                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1934      ,125       ,241       ,553       ,160       ,225       ,630
448       ,בני עטרות                ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,905       ,76        ,226       ,308       ,112       ,75        ,108
449       ,נחלים                    ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,1483      ,199       ,382       ,484       ,120       ,90        ,208
450       ,בארות יצחק               ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,593       ,64        ,84        ,217       ,53        ,50        ,125
452       ,יזרעאל                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,789       ,43        ,138       ,244       ,93        ,53        ,218
453       ,יפתח                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,728       ,61        ,124       ,281       ,77        ,70        ,115
454       ,סער                      ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,922       ,58        ,256       ,292       ,135       ,80        ,101
456       ,שורש                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1313      ,60        ,149       ,280       ,129       ,104       ,591
457       ,גזית                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,844       ,83        ,127       ,295       ,90        ,82        ,167
460       ,רמת רזיאל                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,694       ,60        ,157       ,226       ,94        ,55        ,102
462       ,טל שחר                   ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1228      ,139       ,321       ,419       ,145       ,78        ,126
463       ,געתון                    ,24        ,עכו                      ,24        ,עכו                      ,4         ,מטה אשר                  ,796       ,69        ,172       ,271       ,86        ,73        ,125
464       ,הראל                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,337       ,23        ,72        ,94        ,36        ,68        ,44
465       ,צובה                     ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,824       ,57        ,121       ,341       ,84        ,100       ,121
466       ,בית דגן                  ,43        ,רמלה                     ,43        ,רמלה                     ,0         ,                         ,6995      ,485       ,1516      ,2507      ,959       ,685       ,843
469       ,קרית עקרון               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,11366     ,1076      ,2046      ,4239      ,1282      ,1152      ,1571
472       ,אבו גוש                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,0         ,                         ,8120      ,843       ,1990      ,3321      ,820       ,644       ,502
473       ,אבו סנאן                 ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,13513     ,1212      ,3116      ,5806      ,1469      ,961       ,949
475       ,דחי                      ,23        ,עפולה                    ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,721       ,57        ,180       ,291       ,90        ,54        ,49
478       ,אכסאל                    ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,14833     ,1549      ,3970      ,6233      ,1504      ,869       ,708
480       ,בית ג'ן                  ,24        ,עכו                      ,20        ,כרמיאל                   ,0         ,                         ,12187     ,1010      ,2621      ,5453      ,1362      ,890       ,851
481       ,מגאר                     ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,23009     ,2069      ,5327      ,10321     ,2501      ,1475      ,1316
482       ,בועיינה-נוג'ידאת         ,25        ,נצרת                     ,25        ,נצרת עילית               ,0         ,                         ,10091     ,1074      ,2696      ,4469      ,950       ,476       ,426
483       ,בענה                     ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,8465      ,804       ,2194      ,3603      ,912       ,504       ,448
485       ,ג'ולס                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6442      ,541       ,1322      ,2842      ,783       ,497       ,457
487       ,ג'ש )גוש חלב(            ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3303      ,232       ,633       ,1305      ,452       ,281       ,400
489       ,דבוריה                   ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,10576     ,1050      ,2690      ,4196      ,1262      ,721       ,657
490       ,דייר אל-אסד              ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,12632     ,1259      ,3362      ,5313      ,1289      ,732       ,677
492       ,דייר חנא                 ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,10686     ,976       ,2566      ,4544      ,1207      ,736       ,657
493       ,דייר ראפאת               ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,92        ,10        ,34        ,31        ,10        ,0         ,7
494       ,דאלית אל-כרמל            ,31        ,חיפה                     ,31        ,חיפה                     ,0         ,                         ,17538     ,1453      ,3632      ,7324      ,2243      ,1490      ,1396
496       ,חורפיש                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,6568      ,601       ,1494      ,2910      ,734       ,390       ,439
497       ,טייבה )בעמק(             ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1891      ,234       ,472       ,834       ,171       ,95        ,85
498       ,טורעאן                   ,25        ,נצרת                     ,25        ,נצרת עילית               ,0         ,                         ,14518     ,1499      ,3834      ,6016      ,1487      ,855       ,827
499       ,יפיע                     ,25        ,נצרת                     ,25        ,נצרת עילית               ,0         ,                         ,19346     ,1780      ,4781      ,8041      ,2232      ,1323      ,1189
502       ,ירכא                     ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,15869     ,1477      ,3970      ,6873      ,1659      ,1015      ,875
504       ,כאבול                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,12231     ,1210      ,3214      ,5110      ,1374      ,725       ,598
505       ,כאוכב אבו אל-היג'א       ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,3895      ,376       ,976       ,1573      ,476       ,230       ,264
507       ,כפר יאסיף                ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,10960     ,907       ,2271      ,4585      ,1273      ,987       ,937
508       ,כפר כמא                  ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,3474      ,262       ,652       ,1442      ,369       ,330       ,419
509       ,כפר כנא                  ,25        ,נצרת                     ,25        ,נצרת עילית               ,0         ,                         ,22715     ,2359      ,6151      ,9396      ,2274      ,1354      ,1181
510       ,כפר מנדא                 ,24        ,עכו                      ,25        ,נצרת עילית               ,0         ,                         ,20196     ,2326      ,5709      ,8675      ,1772      ,948       ,766
511       ,עילוט                    ,25        ,נצרת                     ,25        ,נצרת עילית               ,0         ,                         ,8321      ,966       ,2294      ,3502      ,821       ,418       ,320
512       ,כפר מצר                  ,25        ,נצרת                     ,23        ,עפולה                    ,66        ,בוסתאן אל-מרג'           ,2761      ,255       ,772       ,1146      ,299       ,167       ,122
514       ,עין ראפה                 ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,1255      ,122       ,376       ,492       ,128       ,59        ,78
516       ,מג'ד אל-כרום             ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,15498     ,1322      ,4133      ,6568      ,1708      ,927       ,840
517       ,מזרעה                    ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,3962      ,396       ,718       ,1701      ,460       ,399       ,288
518       ,מעיליא                   ,24        ,עכו                      ,24        ,עכו                      ,0         ,                         ,3361      ,225       ,637       ,1281      ,474       ,269       ,475
520       ,משהד                     ,25        ,נצרת                     ,25        ,נצרת עילית               ,0         ,                         ,8731      ,1010      ,2300      ,3716      ,778       ,492       ,435
521       ,עין נקובא                ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,3623      ,490       ,1102      ,1499      ,274       ,175       ,83
522       ,נחף                      ,24        ,עכו                      ,20        ,כרמיאל                   ,0         ,                         ,13388     ,1445      ,3763      ,5672      ,1282      ,658       ,568
