employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
"ד.נ.ד מוצרי צריכה קבוצת מוריה בע""מ ",514963768,"<a title=""9542020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/9542020.pdf""> 9542020.pdf </a>",,"בוקעייה, פקיעין",15/08/2022,מסחר,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"עיצוב שֵׂער וטיפולי, לח""י 8/72 רחובות",,"<a title=""1272.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1272.4.2021.pdf""> 1272.4.2021.pdf </a>",רחובות," לח""י 8/72",15/08/2022,קוסמטיקה,,פנייה,"חוק שכר מינימום תשמ""ז-1987"," מחזור עסקאות 
",,,,,,,,,,
"עיצוב אופנה, אשכנזי 63 תל אביב ",,"<a title=""7.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/7.4.2022.pdf""> 7.4.2022.pdf </a>",תל אביב - יפו, אשכנזי 63,15/08/2022,מסחר,,פנייה,"חוק הגנת השכר תשי""ח-1958"," מחזור עסקאות 
",,,,,,,,,,
"מאמאליגה בע""מ ",515319374,"<a title=""23262021-19.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/23262021-19.pdf""> 23262021-19.pdf </a>",,"יגאל אלון, תל אביב 96",14/08/2022,מסעדות,"36,560",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"מאמאליגה בע""מ ",515319374,"<a title=""23262021-21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/23262021-21.pdf""> 23262021-21.pdf </a>",,"יגאל אלון, תל אביב 96",14/08/2022,מסעדות,"109,680",פנייה,"חוק הגנת השכר תשי""ח-1958",514179894,,,,,,,,,,
"נינה 77 בע""מ ",515786937,"<a title=""12712021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/12712021.pdf""> 12712021.pdf </a>",,"הרצל, ת""א 77",14/08/2022,מסעדות,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"רוזה פסטה בע""מ",515747533,"<a title=""2421.3.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2421.3.2021.pdf""> 2421.3.2021.pdf </a>",רעננה,אחוזה 141,14/08/2022,מסעדות,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ג'יוסי חברה לשיווק ומסחר בע""מ",511799033,"<a title=""21-399-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-399-3-2022.pdf""> 21-399-3-2022.pdf </a>",,ת.ד. 103,10/08/2022,מסחר,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מגדל צדק אחזקה ושרותים בע""מ ",515221687,"<a title=""17692021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/17692021.pdf""> 17692021.pdf </a>",,"ערער, מודיעין 9",10/08/2022,גינון ותחזוקה לבניינים,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"פרפיומרי בע""מ",515841252,"<a title=""21-80-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-80-2-2022.pdf""> 21-80-2-2022.pdf </a>",זכרון יעקב,אלון יגאל 48,10/08/2022,מסחר,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מכירה קמעונית מוצרי חשמל,התקווה 4באר שבע",,"<a title=""2462.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2462.4.2021.pdf""> 2462.4.2021.pdf </a>",באר שבע,התקוה 4,10/08/2022,מסחר,"18,280",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
ב.ס זרד בערבון מוגבל,515232734,"<a title=""37.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/37.4.2022.pdf""> 37.4.2022.pdf </a>",ירוחם,תמירון,10/08/2022,אולמות אירועים/שרותי קיטרינג,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"דניאל, כהן, שפיץ טולדנו- רואי חשבון",514511666,"<a title=""113.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/113.4.2022.pdf""> 113.4.2022.pdf </a>",אשדוד,שד' ירושלים 18,09/08/2022,"שרותים מקצועיים, טכניים ואישיים","17,850",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ש.ב. קלין טק אחזקות בע""מ",515460699,"<a title=""21-711-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-711-3-2022.pdf""> 21-711-3-2022.pdf </a>",תל אביב - יפו,התנופה 5,09/08/2022,קבלני שירותים (שמירה אבטחה וניקיון),"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
מגדניית קורדובה,,"<a title=""18002021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/18002021.pdf""> 18002021.pdf </a>",,"ישעיהו, ירושלים 10",09/08/2022,מסעדות,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"גד אריאל בע""מ",514966563,"<a title=""251.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/251.4.2022.pdf""> 251.4.2022.pdf </a>",ראשון לציון,רוז'נסקי 9,09/08/2022,קבלני שירותים (שמירה אבטחה וניקיון),"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"קצר ולענין שירותי ניהול וניקיון בע""מ",514144864,"<a title=""2552.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2552.4.2021.pdf""> 2552.4.2021.pdf </a>",רחובות,יהושע בן חנניה 9,09/08/2022,גינון ותחזוקה לבניינים,"548,400",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"גמא הוד שירותים ואחזקה בע""מ",514597558,"<a title=""1678.4.2021.33.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1678.4.2021.33.pdf""> 1678.4.2021.33.pdf </a>",מצליח,הדס 53,09/08/2022,קבלני כוח אדם,"29,248",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"גמא הוד שירותים ואחזקה בע""מ",514597558,"<a title=""1678.4.2021.21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1678.4.2021.21.pdf""> 1678.4.2021.21.pdf </a>",מצליח,הדס 53 מצליח 53,09/08/2022,קבלני כוח אדם,"29,248",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
שמואל ילינק ושות' משרד עורכי דין      ,512402090,"<a title=""2604.3.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2604.3.2021.pdf""> 2604.3.2021.pdf </a>",בני ברק,מצדה 7,09/08/2022,"שרותים מקצועיים, טכניים ואישיים","18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
מרכולית טמרה,,"<a title=""21-360-2020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-360-2020.pdf""> 21-360-2020.pdf </a>",טמרה,טמרה 0,09/08/2022,מסחר,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"יש קפה ועוד שגיא בע""מ",516309705,"<a title=""19-318-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-318-3-2022.pdf""> 19-318-3-2022.pdf </a>",בית חורון,יהודה המכבי 36,08/08/2022,מסעדות,"36,560",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"הובלות שועל בע""מ ",515767176,"<a title=""422022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/422022.pdf""> 422022.pdf </a>",,"המדרגות, ירושלים 17",08/08/2022,היסעים והובלות,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
מאורי החיים-בית שמש ,580620367,"<a title=""1632022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1632022.pdf""> 1632022.pdf </a>",,"אוהל יהושע, בית שמש 19",08/08/2022,חינוך,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
אייל מערכות שערים חשמליים,,"<a title=""21-167-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-167-2-2022.pdf""> 21-167-2-2022.pdf </a>",כרמיאל,נשר 64,08/08/2022,"שרותים מקצועיים, טכניים ואישיים","18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"רועיקום בע""מ",515202075,"<a title=""21-2230-2-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2230-2-2021.pdf""> 21-2230-2-2021.pdf </a>",קרית ים,פנחס לבון 13,08/08/2022,קבלני שירותים (שמירה אבטחה וניקיון),"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"גי ליפט ישראל ת.ח. צמ""ה בע""מ",516020393,"<a title=""21-1527-2-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1527-2-2021.pdf""> 21-1527-2-2021.pdf </a>",כפר מסריק,,08/08/2022,בניין,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"שירותי גינון ותחזוקה, טרומפלדור 20 אשדוד",,"<a title=""1582.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1582.4.2021.pdf""> 1582.4.2021.pdf </a>",אשדוד,טרומפלדור 20,08/08/2022,גינון ותחזוקה לבניינים,"109,680",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"שוויקי חיסום בע""מ ",516162310,"<a title=""4272022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/4272022.pdf""> 4272022.pdf </a>",,"יציב, ירושלים 17",07/08/2022,תעשייה,"36,560",יזום,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"פורטל ייעוץ ותכנון אקולוגי בע""מ ",514450717,"<a title=""15052021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/15052021.pdf""> 15052021.pdf </a>",,"התע""ש, כפר סבא 20",07/08/2022,"שרותים מקצועיים, טכניים ואישיים","58,496",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ש.ו.פ חשמל ושיפוצים בע""מ",515038982,"<a title=""19-927-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/19-927-2-2022.pdf""> 19-927-2-2022.pdf </a>",שפרעם,מרכז מסחרי,07/08/2022,בניין,"36,560",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"ב.א.א ביט רוחמה תורג'מן בע""מ",516192895,"<a title=""21-70-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-70-2-2022.pdf""> 21-70-2-2022.pdf </a>",מעלות-תרשיחא,ככר המייסדים 2,07/08/2022,"שרותים מקצועיים, טכניים ואישיים","29,248",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
ש.ל שיפוצים ,,"<a title=""21-829-2-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-829-2-2021.pdf""> 21-829-2-2021.pdf </a>",קרית ביאליק,אפרסמון 11,07/08/2022,בניין,,יזום,"חוק הגנת השכר תשי""ח-1958",הפחתה בשל מחזור עסקאות,,,,,,,,,,
"צ'ינג צ'ונג אצה סושי בר בע""מ ",516055589,"<a title=""1162022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1162022.pdf""> 1162022.pdf </a>",,"צאלון, מודיעין 21",04/08/2022,מסעדות,"36,560",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
שקל ועוד,,,מודיעין עילית,יחזקאל 2,04/09/2022,מסחר,"18,280",מודיעין,"חוק עבודת הנוער, תשי""ג-1953
סעיף 2, העסקת ילד מתחת לגיל 15.",6782022,13,4,כן. הבקשה נדחתה.,לא,1(א)(1)+ 1(א)(3) - 50%,,,,,
גן אדלין,,"<a title=""21-894-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-894-3-2022.pdf""> 21-894-3-2022.pdf </a>",חולון,קפלן 13,03/08/2022,חינוך,,פנייה,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"ארבל מרכז גריאטרי בע""מ ",510180300,"<a title=""11692020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/11692020.pdf""> 11692020.pdf </a>",,"יצחק אלחנן, פתח תקווה 2",03/08/2022,שרותי בריאות וסיעוד,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
ק.ר שיפוצים ואינסטלציה ,,"<a title=""656.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/656.4.2022.pdf""> 656.4.2022.pdf </a>",רהט,שכ 34 70,03/08/2022,בניין,"584,960",יזום,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"גורמה אקספרס בע""מ ",513949180,"<a title=""8972021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/8972021.pdf""> 8972021.pdf </a>",,"סחרוב דוד, ראשון לציון 17",03/08/2022,מסעדות,"29,248",פנייה,הגנת השכר,,,,,,,,,,,
"עיצוב שֵׂער וטיפולי יופי אחרים, גבורי יש",,"<a title=""918.4.2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/918.4.2022.pdf""> 918.4.2022.pdf </a>",אופקים,גבורי ישראל 915,02/08/2022,פעילות בידור פנאי וספורט,"1,642",פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
מסחר סיטונאי וקמעונאי,,"<a title=""21-418-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-418-2-2022.pdf""> 21-418-2-2022.pdf </a>",חיפה,מיכאל 17,02/08/2022,מסחר,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"איי. אי. איל בע""מ",512368424,"<a title=""9-58-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/9-58-2-2022.pdf""> 9-58-2-2022.pdf </a>",תל אביב - יפו,דרך בן צבי 84,02/08/2022,מסחר,"18,280",יזום,"חוק שעות עבודה ומנוחה תשי""א-1951",,,,,,,,,,,
"מקסיקני, שמריהו לוין 3 באר שבע ",,"<a title=""1990.4.2021.2.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1990.4.2021.2.pdf""> 1990.4.2021.2.pdf </a>",באר שבע,שמריהו לוין 3,02/08/2022,מסעדות,"18,280",יזום,"חוק עבודת הנוער תשי""ג-1953",,,,,,,,,,,
"מקסיקני, שמריהו לוין 3 באר שבע ",,"<a title=""1990.4.2021.20.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1990.4.2021.20.pdf""> 1990.4.2021.20.pdf </a>",באר שבע,שמריהו לוין 3,02/08/2022,מסעדות,"18,280",יזום,"חוק עבודת הנוער תשי""ג-1953",,,,,,,,,,,
"ברנס ר.ש. אירוח ויזמות בע""מ",515094217,"<a title=""2539.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/2539.4.2021.pdf""> 2539.4.2021.pdf </a>",אילת,קינמון 10,02/08/2022,שרותי אירוח/בתי מלון,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ד.ס.נ.י.ב. בע""מ",515597961,,יבנה,שד' ירושלים 1,20/02/2024,בנין,"19,885",יזום,"חוק הגנת השכר, תשי""ח-1958
סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",,11,4,לא,לא,(א)(1)+ 1(א)(3) - 50%,,,,,
תיווך דירות ומקרקעין ,,"<a title=""21-912-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-912-3-2022.pdf""> 21-912-3-2022.pdf </a>",תל אביב - יפו,הדף היומי 6,01/08/2022,"שרותים מקצועיים, טכניים ואישיים","73,120",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"נאות טבריה שרותי סיעוד בע""מ ",514176106,"<a title=""5942020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/5942020.pdf""> 5942020.pdf </a>",,"בנים, טבריה 17",01/08/2022,שרותי בריאות וסיעוד,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"יתרו לאב בע""מ",514120716,"<a title=""1681.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1681.4.2021.pdf""> 1681.4.2021.pdf </a>",ניצן,השקמה 14,01/08/2022,תעשייה,,פנייה,"חוק הגנת השכר תשי""ח-1958"," מחזור עסקאות 
",,,,,,,,,,
"לב הנגב שירותים בע""מ",512968496,"<a title=""1741.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1741.4.2021.pdf""> 1741.4.2021.pdf </a>",באר שבע,"קק""ל 82",01/08/2022,שרותי בריאות וסיעוד,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"סווטה (ישראל) בע""מ",511079451,"<a title=""1540.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1540.4.2021.pdf""> 1540.4.2021.pdf </a>",רחובות,בארי 31 ,01/08/2022,מסחר,,פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"תכשיטי דניאל וליליאן בע""מ",515347797,"<a title=""244.4.2020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/244.4.2020.pdf""> 244.4.2020.pdf </a>",אשדוד,העצמאות 95/31 ,01/08/2022,מסחר,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
נעמת- תנועת נשים עובדות ומתנדבות,580044261,"<a title=""190013564012.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/190013564012.pdf""> 190013564012.pdf </a>",,תל אביב,28/07/2022,חינוך,,פנייה,"חוק שכר מינימום תשמ""ז-1987",,,,,,,,,,,
"גולד חש אש בע""מ",512677501,"<a title=""33-493-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/33-493-3-2022.pdf""> 33-493-3-2022.pdf </a>",,אלקים 5,27/07/2022,"שרותים מקצועיים, טכניים ואישיים","18,280",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"ג'י וי סופטאייטי בע""מ",515615045,"<a title=""21-342-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-342-3-2022.pdf""> 21-342-3-2022.pdf </a>",,כצנלסון 16,27/07/2022,,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
שירותים משפטיים הברזל 3 תל אביב ,,"<a title=""999.3.2021.19.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/999.3.2021.19.pdf""> 999.3.2021.19.pdf </a>",תל אביב - יפו,הברזל 3,26/07/2022,"שרותים מקצועיים, טכניים ואישיים",,פנייה,"חוק שכר מינימום תשמ""ז-1987"," מחזור עסקאות 
",,,,,,,,,,
"שירותים משפטיים, הברזל 3 תל אביב",,"<a title=""999.3.2021.21.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/999.3.2021.21.pdf""> 999.3.2021.21.pdf </a>",תל אביב - יפו,הברזל 3,26/07/2022,"שרותים מקצועיים, טכניים ואישיים",,פנייה,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"א.ד.א קבוצת מוריה ניהול ושירותים בע""מ ",515251452,"<a title=""11112020.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/11112020.pdf""> 11112020.pdf </a>",חיפה,"מקלף מרדכי רא""ל 27",25/07/2022,שרותי בריאות וסיעוד,"36,560",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
ע.א.י אורקסטרה גרופ בעמ ,515890481,"<a title=""18372021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/18372021.pdf""> 18372021.pdf </a>",תל אביב,קלישר 17,24/07/2022,"תקשורת, הנדסה ומחשוב","18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
מינימרקט ג'יבלי ,,,טירת כרמל,הרצל 2,19/07/2022,מסחר,"18,280",מודיעין,"חוק הגנת השכר, תשי""ח-1958
סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",11182021,7,4,כן. הבקשה נדחתה.,לא,(א)(1)+ 1(א)(3) - 50%,,,,,
הסמינר החדש חזון החינוך התורני ,580670909,"<a title=""25432021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/25432021.pdf""> 25432021.pdf </a>",בית שמש,נחל חבר 8,19/07/2022,חינוך,,יזום,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"גלים הפקות טלויזיה בע""מ",512105099,"<a title=""23762021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/23762021.pdf""> 23762021.pdf </a>",תל אביב,הברזל 31,19/07/2022,פעילות בידור פנאי וספורט,,פנייה,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"סוף תכנון וביצוע גינות נוי בע""מ",514080142,"<a title=""21-302-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-302-2-2022.pdf""> 21-302-2-2022.pdf </a>",יגור,צומת יגור,17/07/2022,גינון ותחזוקה לבניינים,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ט.ע.מ. גני ילדים (2006) בע""מ",513791673,"<a title=""33-459-2-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/33-459-2-2021.pdf""> 33-459-2-2021.pdf </a>",סח'נין,,17/07/2022,חינוך,"29,248",פנייה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",,,,,,,,,,,
"דפוס באנקר בע""מ",515351492,"<a title=""21-2587-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2587-3-2021.pdf""> 21-2587-3-2021.pdf </a>",חולון,היוצר 5,14/07/2022,מסחר,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
דרגגסטור מפגש העמק ,,,מגדל העמק,דרך העמק,13/07/2022,מסחר,"38,480",פנייה,"חוק שכר מינימום, תשמ""ז-1987
סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",,3,1,לא,לא,לא קיים,,,,,
"צינה 116 הנאות וכיופים בע""מ  ",515532158,"<a title=""21-2600-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2600-3-2021.pdf""> 21-2600-3-2021.pdf </a>",תל אביב - יפו,דיזנגוף 116,12/07/2022,מסעדות,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אמבולנס חדרה בע""מ",513034249,"<a title=""21-212-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-212-2-2022.pdf""> 21-212-2-2022.pdf </a>",חדרה,הזגג 23,12/07/2022,שרותי בריאות וסיעוד,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"מיד ליעד (ע""ר)",580509685,"<a title=""21-612-3-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-612-3-2022.pdf""> 21-612-3-2022.pdf </a>",,נחמיה 15,07/07/2022,,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
מכבסת קרית משה,,"<a title=""17672021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/17672021.pdf""> 17672021.pdf </a>",ירושלים,ימין אבות 6,06/07/2022,"שרותים מקצועיים, טכניים ואישיים",,פנייה,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
מוסך פחחות שגב,,"<a title=""1385.4.2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/1385.4.2021.pdf""> 1385.4.2021.pdf </a>",שגב-שלום,,06/07/2022,תחנות דלק ושרותי רכב,,יזום,"חוק הגנת השכר תשי""ח-1958",מחזור עסקאות,,,,,,,,,,
"מי באר שבע בע""מ",512095308,"<a title=""210002755015.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/210002755015.pdf""> 210002755015.pdf </a>",באר שבע,יסקי 2,05/07/2022,בניין,,יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"אמפריום ס.פ מגורים והנדסה בע""מ",515728921,"<a title=""21-456-2-2022.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-456-2-2022.pdf""> 21-456-2-2022.pdf </a>",מעלה עירון,זלפה,03/07/2022,בניין,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
בורגרס בר בית שמש,,"<a title=""21582021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21582021.pdf""> 21582021.pdf </a>",בית שמש,אזור התעשיה צפון 1,03/07/2022,מסחר,"18,280",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
נעלי טו גו,,"<a title=""25792021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/25792021.pdf""> 25792021.pdf </a>",ירושלים,כנפי נשרים 22,28/06/2022,מסחר,"292,480",יזום,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ביוג'נסיס קוונטום בע""מ",515161842,"<a title=""21-1704-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1704-3-2021.pdf""> 21-1704-3-2021.pdf </a>",ראשון לציון,מזל אליעזר 4,27/06/2022,שרותי בריאות וסיעוד,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
"ניהול בתי אבות אור גנים בע""מ ",515788982,"<a title=""21-1270-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-1270-3-2021.pdf""> 21-1270-3-2021.pdf </a>",נתניה,מנדלי מוכר ספרים 10,27/06/2022,שרותי בריאות וסיעוד,"18,280",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
גולברג פסיכומטרי,,"<a title=""21-2388-3-2021.pdf""  target=""_blank"" href=""https://www.gov.il/files/molsa/pdf_files/21-2388-3-2021.pdf""> 21-2388-3-2021.pdf </a>",תל אביב - יפו,המסגר 39,26/06/2022,חינוך,"146,240",פנייה,"חוק הגנת השכר תשי""ח-1958",,,,,,,,,,,
