employer_name,employer_number,more_details,city,address,decision_date,industry,final_sanction_amount,reason_of_review,law,note,employees_general_number,checked_employees_number,appeal,court_appeal,financial_sanction_reduction,,,,,
"מאפה נאמן - מאפה הפנינים בע""מ ",514102987,,בית שמש,יגאל אלון 24,31/03/2024,מסעדות,19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",18355/2015,12,2,כן. הבקשה התקבלה חלקית,לא,1(א)(1)+1(א)(3) - 50%,,,,,
" ק.א.נ. אלטלאלקה בע""מ  ",514390376,,באר שבע,מונטיפיורי 26,11/09/2023,"שרותים מקצועיים, טכניים ואישיים",19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1719/4/2022 ,10,4,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
" טק מרין שרותים בע""מ",513731422,,חיפה, המלאכה 26,30/07/2024,מסחר,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",731/2/2023,11,4,לא,לא,1(א)(1)+1(א)(3) - 50%,,,,,
" מאיה בוטיק טבע בע""מ   ",515958205,,אבן יהודה, המיסדים 66,18/07/2024,מסחר,,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",694/2/2023 ,10,4,לא,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"מוסקט - עיצוב וריהוט בע""מ      MUSKAT - DESIGN &amp; FURNITURE LTD",513915009,,אודים,הדקל,21/07/2024,מסחר,31816,יזום/מודיעין,"חוק שעות עבודה ומנוחה, תשמ""ז-1987. סעיף 9, העבדה אסורה במנוחה השבועית או בלא היתר",313/2/2023 ,11,4,לא,לא,תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
" מקו בע""מ  ",510018179,,רעננה, רבוצקי 23,18/07/2024,מסחר,23862,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",192/2/2023,7,4,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%,,,,,
"הטחנה בשר גלילי איכותי בע""מ",515988459,,מטולה,הראשונים 1,01/03/2023,תעשייה,96200,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1753/2/2022,10,4,כן. הבקשה נדחתה,כן. טרם התקבלה החלטה,תקנה 1(א)(1) - לא הפר את אותה הוראה בחמש השנים שקדמו להפרה - 25%;תקנה 1(א)(2) - הפסיק את ההפרה בטרם פנה אליו מפקח עבודה- 40%,,,,,
"מסעדת הטחנה בע""מ",515764769,,מטולה,הראשונים 1,17/06/2024,מסעדות,,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",58/2/2023,60,6,כן. טרם התקבלה החלטה,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"י.א. פמילי מרקט בע""מ",515847747,,ניצני עוז,אלומות 6,26/03/2024,מסחר,119310,יזום/מודיעין,"חוק עבודת הנוער, תשי""ג-1953. סעיף 21, העסקת נער במנוחה השבועית",836/2/2023,125,10,לא,לא,לא קיים,,,,,
"גרידלוולד למסחר והובלות בע""מ",515308039,,טירה,טארק עבד אל-חי 3,26/03/2024,מסחר,238620,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",914/2/2023,8,4,לא,לא,לא קיים,,,,,
"מעון ילדים ""אחוזה""",,,חיפה,ציון 4,26/03/2024,חינוך,39770,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",1006/2/2023,4,4,לא,לא,לא קיים,,,,,
"מעון ילדים ""אחוזה""",,,חיפה,ציון 4,26/03/2024,חינוך,238620,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1006/2/2023,4,4,לא,לא,לא קיים,,,,,
שילוט ומוצרי פרסום,,,תל אביב -יפו,הרצל 146,27/03/2024,תעשייה,39770,תלונה,"חוק שכר מינימום, תשמ""ז-1987. סעיף 2, אי תשלום שכר מינימום ע""י מעביד לעובדו",900/2/2023,5,3,לא,לא,לא קיים,,,,,
"א.י.ס תמר שיווק וניהול בע""מ",516092020,,צור יגאל,בזלת צור יגאל 14,21/05/2024,מסחר,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",166/2/2024,1,1,לא,לא,תקנה 1(א)(1) - לא הפר את אותה הוראה בחמש השנים שקדמו להפרה - 25%;תקנה 1(א)(2) - הפסיק את ההפרה בטרם פנה אליו מפקח עבודה- 40%,,,,,
חנות כלי בית - קוקוואר ושות,,,אבן יהודה,רוזמרין 12,03/07/2024,מסחר,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1492/2/2023,6,3,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
מסעדת זנזרה,,,חיפה,הגליל 103,17/06/2024,מסעדות,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",969/2/2023,15,4,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"קולורס הגליל בע""מ",513514802,,כרמיאל,השיש 6,17/07/2024,תעשייה,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1519/2/2023,15,4,לא,לא,תקנה 1(א)(1) - לא הפר את אותה הוראה בחמש השנים שקדמו להפרה - 25%;תקנה 1(א)(2) - הפסיק את ההפרה בטרם פנה אליו מפקח עבודה- 40%,,,,,
"אלפין גינס בע""מ",512251182,,בני ברק,רבי עקיבא 51,17/02/2016,מסחר,,תלונה,"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים, התשי""ז- 1956. אי תשלום תשלומים מכח צווי הרחבה בעניין פנסיה",19536/3/2015,3,1,כן. הבקשה נדחתה,לא,תקנה 1א - הפחתה לפי מחזור עסקאות  2.5%  /  4.5%,,,,,
"ו.נ ורד הצפון כח אדם ואחזקות בע""מ",516095882,,ג'ש (גוש חלב),ג'ש (גוש חלב),05/05/2024,"קבלני כ""א",19885,יזום/מודיעין,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",754/2/2023,21,10,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
בריכה טיפולית טירת הכרמל,,,טירת כרמל,שי עגנון 14,07/07/2024,שרותי בריאות וסיעוד,19885,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",700/2/2023,20,4,לא,לא,תקנה 1(א)(1) - לא הפר כל הוראה בחמש השנים- 40%;תקנה 1(א)(3) - המעביד נקט פעולות למניעת הישנות ההפרה ולהקטנת הנזק שנגרם בשלה- 20%,,,,,
"אורנים בית לאירועים בע""מ",515993053,,חיפה,טשרניחובסקי 35,06/05/2024,אולמות אירועים/שרותי קטרינג,79540,תלונה,"חוק הגנת השכר, תשי""ח-1958. סעיף 25א, אי העברת סכומים שנוכו למי שלו יועדו או העביר באיחור",1372/2/2023,25,4,לא,לא,לא קיים,,,,,
"שלם פתרונות אריזה בע""מ",512962804,,קיסריה,אלת המסטיק 4,08/04/2024,תעשייה,22730,תלונה,"חוק שעות עבודה ומנוחה, תשמ""ז-1987. סעיף 12+9, העסקה במנוחה השבועית בניגוד להיתר",762/2/2023,382,10,כן. טרם התקבלה החלטה,לא,לא קיים,,,,,
